*******************************************************************************
Ephemeris / WWW_USER Mon Nov 21 02:03:34 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: jup340_merged}
Center body name: Sun (10)                        {source: jup340_merged}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-18 00:00:00.0000 UT      
Stop  time      : A.D. 2028-Nov-18 00:00:00.0000 UT      
Step-size       : 17280 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {East-longitude -}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude +}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: jup340_merged}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.161118.p170209                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-NOV-18. PREDICTS-> 2017-FEB-08
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
****************************************************************************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0),   hEcl-Lon,  hEcl-Lat,            delta,     deldot,    ObsEcLon,   ObsEcLat,
****************************************************************************************************************************************************************
$$SOE
 2017-Oct-20 00:00, 2458046.500000000, , ,210.9839283,-11.2981318, 212.766369,  1.206662, 5.44203543225786, -0.2033867, 212.7663686,  1.2066624,
 2017-Nov-01 00:00, 2458058.500000000, , ,211.8549073,-11.6147639, 213.676990,  1.198666, 5.44059410973150, -0.2115285, 213.6769899,  1.1986658,
 2017-Nov-13 00:00, 2458070.500000000, , ,212.7283393,-11.9289513, 214.588107,  1.190362, 5.43908659669566, -0.2225442, 214.5881065,  1.1903615,
 2017-Nov-25 00:00, 2458082.500000000, , ,213.6042811,-12.2406141, 215.499730,  1.181751, 5.43751290495504, -0.2332889, 215.4997295,  1.1817514,
 2017-Dec-07 00:00, 2458094.500000000, , ,214.4827986,-12.5496755, 216.411881,  1.172837, 5.43587287006185, -0.2405967, 216.4118808,  1.1728372,
 2017-Dec-19 00:00, 2458106.500000000, , ,215.3639789,-12.8560669, 217.324606,  1.163620, 5.43416718702125, -0.2501851, 217.3246060,  1.1636199,
 2017-Dec-31 00:00, 2458118.500000000, , ,216.2478611,-13.1597029, 218.237902,  1.154101, 5.43239774864161, -0.2604131, 218.2379022,  1.1541006,
 2018-Jan-12 00:00, 2458130.500000000, , ,217.1345022,-13.4605026, 219.151786,  1.144282, 5.43056283814272, -0.2692267, 219.1517857,  1.1442822,
 2018-Jan-24 00:00, 2458142.500000000, , ,218.0239969,-13.7583986, 220.066314,  1.134166, 5.42866236246460, -0.2791461, 220.0663138,  1.1341662,
 2018-Feb-05 00:00, 2458154.500000000, , ,218.9163815,-14.0533064, 220.981486,  1.123753, 5.42670075633176, -0.2882394, 220.9814859,  1.1237525,
 2018-Feb-17 00:00, 2458166.500000000, , ,219.8116900,-14.3451365, 221.897299,  1.113045, 5.42467544503504, -0.2957878, 221.8972990,  1.1130451,
 2018-Mar-01 00:00, 2458178.500000000, , ,220.7100195,-14.6338210, 222.813817,  1.102046, 5.42258442415174, -0.3051914, 222.8138173,  1.1020465,
 2018-Mar-13 00:00, 2458190.500000000, , ,221.6114282,-14.9192837, 223.731068,  1.090755, 5.42043422699937, -0.3164720, 223.7310676,  1.0907551,
 2018-Mar-25 00:00, 2458202.500000000, , ,222.5159188,-15.2014263, 224.649021,  1.079175, 5.41822354103943, -0.3242796, 224.6490211,  1.0791748,
 2018-Apr-06 00:00, 2458214.500000000, , ,223.4235666,-15.4801725, 225.567724,  1.067310, 5.41594796794037, -0.3303711, 225.5677242,  1.0673097,
 2018-Apr-18 00:00, 2458226.500000000, , ,224.3344628,-15.7554555, 226.487242,  1.055159, 5.41361289882216, -0.3413879, 226.4872424,  1.0551585,
 2018-Apr-30 00:00, 2458238.500000000, , ,225.2485997,-16.0271765, 227.407543,  1.042724, 5.41122009901840, -0.3512527, 227.4075430,  1.0427237,
 2018-May-12 00:00, 2458250.500000000, , ,226.1660148,-16.2952480, 228.328640,  1.030010, 5.40876547484441, -0.3576158, 228.3286401,  1.0300099,
 2018-May-24 00:00, 2458262.500000000, , ,227.0868053,-16.5596028, 229.250611,  1.017018, 5.40625099393749, -0.3670586, 229.2506107,  1.0170178,
 2018-Jun-05 00:00, 2458274.500000000, , ,228.0109760,-16.8201481, 230.173441,  1.003749, 5.40368011844207, -0.3753163, 230.1734415,  1.0037488,
 2018-Jun-17 00:00, 2458286.500000000, , ,228.9385453,-17.0767927, 231.097134,  0.990207, 5.40105084023324, -0.3824794, 231.0971342,  0.9902067,
 2018-Jun-29 00:00, 2458298.500000000, , ,229.8695882,-17.3294621, 232.021750,  0.976394, 5.39836272182610, -0.3929448, 232.0217500,  0.9763940,
 2018-Jul-11 00:00, 2458310.500000000, , ,230.8041202,-17.5780676, 232.947293,  0.962312, 5.39561922200261, -0.4006699, 232.9472934,  0.9623119,
 2018-Jul-23 00:00, 2458322.500000000, , ,231.7421550,-17.8225186, 233.873769,  0.947964, 5.39282000410867, -0.4068016, 233.8737689,  0.9479639,
 2018-Aug-04 00:00, 2458334.500000000, , ,232.6837354,-18.0627323, 234.801213,  0.933353, 5.38996405046913, -0.4157405, 234.8012128,  0.9333534,
 2018-Aug-16 00:00, 2458346.500000000, , ,233.6288827,-18.2986228, 235.729643,  0.918482, 5.38705391031233, -0.4241285, 235.7296430,  0.9184820,
 2018-Aug-28 00:00, 2458358.500000000, , ,234.5776186,-18.5301032, 236.659080,  0.903353, 5.38409027329532, -0.4319906, 236.6590800,  0.9033529,
 2018-Sep-09 00:00, 2458370.500000000, , ,235.5299545,-18.7570853, 237.589537,  0.887969, 5.38107365342625, -0.4393625, 237.5895372,  0.8879691,
 2018-Sep-21 00:00, 2458382.500000000, , ,236.4858993,-18.9794812, 238.521028,  0.872333, 5.37800485470967, -0.4456038, 238.5210282,  0.8723332,
 2018-Oct-03 00:00, 2458394.500000000, , ,237.4454877,-19.1972080, 239.453595,  0.856449, 5.37488324009383, -0.4534038, 239.4535949,  0.8564493,
 2018-Oct-15 00:00, 2458406.500000000, , ,238.4087265,-19.4101797, 240.387254,  0.840319, 5.37171227838807, -0.4622801, 240.3872545,  0.8403189,
 2018-Oct-27 00:00, 2458418.500000000, , ,239.3755919,-19.6183036, 241.321998,  0.823945, 5.36849294418041, -0.4690791, 241.3219980,  0.8239451,
 2018-Nov-08 00:00, 2458430.500000000, , ,240.3461031,-19.8214940, 242.257860,  0.807334, 5.36522179695710, -0.4739064, 242.2578604,  0.8073336,
 2018-Nov-20 00:00, 2458442.500000000, , ,241.3202911,-20.0196725, 243.194892,  0.790486, 5.36190317409569, -0.4815230, 243.1948917,  0.7904856,
 2018-Dec-02 00:00, 2458454.500000000, , ,242.2981157,-20.2127471, 244.133076,  0.773403, 5.35854015207956, -0.4903382, 244.1330764,  0.7734033,
 2018-Dec-14 00:00, 2458466.500000000, , ,243.2795545,-20.4006266, 245.072419,  0.756093, 5.35512838579804, -0.4952052, 245.0724187,  0.7560930,
 2018-Dec-26 00:00, 2458478.500000000, , ,244.2646545,-20.5832365, 246.012993,  0.738557, 5.35167024061368, -0.5015817, 246.0129929,  0.7385570,
 2019-Jan-07 00:00, 2458490.500000000, , ,245.2533754,-20.7604888, 246.954793,  0.720797, 5.34817026683167, -0.5091837, 246.9547931,  0.7207972,
 2019-Jan-19 00:00, 2458502.500000000, , ,246.2456562,-20.9322900, 247.897797,  0.702819, 5.34462535792262, -0.5133925, 247.8977967,  0.7028193,
 2019-Jan-31 00:00, 2458514.500000000, , ,247.2415387,-21.0985654, 248.842082,  0.684628, 5.34103525183388, -0.5208628, 248.8420819,  0.6846276,
 2019-Feb-12 00:00, 2458526.500000000, , ,248.2409901,-21.2592323, 249.787660,  0.666224, 5.33740537963216, -0.5288355, 249.7876600,  0.6662238,
 2019-Feb-24 00:00, 2458538.500000000, , ,249.2439228,-21.4141992, 250.734493,  0.647612, 5.33373511968728, -0.5315750, 250.7344933,  0.6476124,
