*******************************************************************************
Ephemeris / WWW_USER Mon Nov 21 02:08:16 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Uranus (799)                    {source: ura111}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-18 00:00:00.0000 UT      
Stop  time      : A.D. 2100-Nov-18 00:00:00.0000 UT      
Step-size       : 120960 minutes
*******************************************************************************
Target pole/equ : IAU_URANUS                      {East-longitude +}
Target radii    : 25559.0 x 25559.0 x 24973.0 km  {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude +}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.161118.p170209                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-NOV-18. PREDICTS-> 2017-FEB-08
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
****************************************************************************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0),   hEcl-Lon,  hEcl-Lat,            delta,     deldot,    ObsEcLon,   ObsEcLat,
****************************************************************************************************************************************************************
$$SOE
 2023-Apr-28 00:00, 2460062.500000000, , , 46.1232617, 17.0086648,  48.485909, -0.332936, 19.6522014001651, -0.2648305,  48.4859089, -0.3329361,
 2023-Jul-21 00:00, 2460146.500000000, , , 47.0674740, 17.2769746,  49.427165, -0.321462, 19.6392632836111, -0.2685294,  49.4271652, -0.3214623,
 2023-Oct-13 00:00, 2460230.500000000, , , 48.0157946, 17.5412405,  50.369786, -0.309883, 19.6261374171542, -0.2726607,  50.3697865, -0.3098831,
 2024-Jan-05 00:00, 2460314.500000000, , , 48.9682130, 17.8013525,  51.313745, -0.298199, 19.6128098103845, -0.2767734,  51.3137452, -0.2981994,
 2024-Mar-29 00:00, 2460398.500000000, , , 49.9247107, 18.0571964,  52.259009, -0.286415, 19.5992947351661, -0.2803895,  52.2590088, -0.2864152,
 2024-Jun-21 00:00, 2460482.500000000, , , 50.8853229, 18.3086739,  53.205601, -0.274533, 19.5855977795355, -0.2842378,  53.2056010, -0.2745334,
 2024-Sep-13 00:00, 2460566.500000000, , , 51.8500420, 18.5556763,  54.153506, -0.262557, 19.5717202385185, -0.2878458,  54.1535064, -0.2625575,
 2024-Dec-06 00:00, 2460650.500000000, , , 52.8188884, 18.7981026,  55.102740, -0.250490, 19.5576709276525, -0.2914111,  55.1027401, -0.2504904,
 2025-Feb-28 00:00, 2460734.500000000, , , 53.7918499, 19.0358463,  56.053289, -0.238335, 19.5434439237094, -0.2950424,  56.0532894, -0.2383346,
 2025-May-23 00:00, 2460818.500000000, , , 54.7688805, 19.2687924,  57.005111, -0.226094, 19.5290569506177, -0.2979862,  57.0051115, -0.2260941,
 2025-Aug-15 00:00, 2460902.500000000, , , 55.7500221, 19.4968475,  57.958252, -0.213773, 19.5145261587015, -0.3010317,  57.9582525, -0.2137726,
 2025-Nov-07 00:00, 2460986.500000000, , , 56.7352679, 19.7199087,  58.912715, -0.201374, 19.4998450978670, -0.3041479,  58.9127150, -0.2013735,
 2026-Jan-30 00:00, 2461070.500000000, , , 57.7245798, 19.9378686,  59.868475, -0.188899, 19.4850267132023, -0.3067574,  59.8684752, -0.1888992,
 2026-Apr-24 00:00, 2461154.500000000, , , 58.7179575, 20.1506279,  60.825549, -0.176353, 19.4700797742260, -0.3093464,  60.8255489, -0.1763533,
 2026-Jul-17 00:00, 2461238.500000000, , , 59.7153617, 20.3580791,  61.783918, -0.163741, 19.4550140798274, -0.3116042,  61.7839182, -0.1637412,
 2026-Oct-09 00:00, 2461322.500000000, , , 60.7168025, 20.5601292,  62.743616, -0.151065, 19.4398476463448, -0.3136988,  62.7436165, -0.1510648,
 2027-Jan-01 00:00, 2461406.500000000, , , 61.7222752, 20.7566820,  63.704667, -0.138327, 19.4245735953615, -0.3159527,  63.7046667, -0.1383275,
 2027-Mar-26 00:00, 2461490.500000000, , , 62.7316973, 20.9476275,  64.667021, -0.125534, 19.4092027297787, -0.3176075,  64.6670211, -0.1255337,
 2027-Jun-18 00:00, 2461574.500000000, , , 63.7450659, 21.1328736,  65.630712, -0.112686, 19.3937571835894, -0.3191042,  65.6307118, -0.1126863,
 2027-Sep-10 00:00, 2461658.500000000, , , 64.7623672, 21.3123249,  66.595764, -0.099791, 19.3782371422282, -0.3206570,  66.5957641, -0.0997906,
 2027-Dec-03 00:00, 2461742.500000000, , , 65.7835553, 21.4858854,  67.562177, -0.086849, 19.3626545075330, -0.3218119,  67.5621771, -0.0868487,
 2028-Feb-25 00:00, 2461826.500000000, , , 66.8086116, 21.6534654,  68.529980, -0.073863, 19.3470124032015, -0.3229975,  68.5299795, -0.0738625,
 2028-May-19 00:00, 2461910.500000000, , , 67.8374545, 21.8149614,  69.499144, -0.060840, 19.3313166182752, -0.3239013,  69.4991438, -0.0608398,
 2028-Aug-11 00:00, 2461994.500000000, , , 68.8700550, 21.9702857,  70.469696, -0.047783, 19.3155916424903, -0.3244644,  70.4696964, -0.0477826,
 2028-Nov-03 00:00, 2462078.500000000, , , 69.9064096, 22.1193559,  71.441692, -0.034692, 19.2998344610134, -0.3251604,  71.4416917, -0.0346922,
 2029-Jan-26 00:00, 2462162.500000000, , , 70.9464237, 22.2620735,  72.415102, -0.021576, 19.2840466661089, -0.3255877,  72.4151018, -0.0215757,
 2029-Apr-20 00:00, 2462246.500000000, , , 71.9900450, 22.3983534,  73.389943, -0.008434, 19.2682455733596, -0.3258429,  73.3899426, -0.0084345,
 2029-Jul-13 00:00, 2462330.500000000, , , 73.0372230, 22.5281095,  74.366235,  0.004727, 19.2524347343562, -0.3259216,  74.3662354,  0.0047265,
 2029-Oct-05 00:00, 2462414.500000000, , , 74.0878908, 22.6512556,  75.343990,  0.017902, 19.2366293602789, -0.3256661,  75.3439897,  0.0179025,
 2029-Dec-28 00:00, 2462498.500000000, , , 75.1420243, 22.7677172,  76.323259,  0.031094, 19.2208314365186, -0.3256436,  76.3232590,  0.0310940,
 2030-Mar-22 00:00, 2462582.500000000, , , 76.1995158, 22.8774055,  77.304022,  0.044294, 19.2050363912787, -0.3253759,  77.3040218,  0.0442936,
 2030-Jun-14 00:00, 2462666.500000000, , , 77.2602781, 22.9802394,  78.286279,  0.057496, 19.1892678848033, -0.3246869,  78.2862794,  0.0574965,
 2030-Sep-06 00:00, 2462750.500000000, , , 78.3242847, 23.0761503,  79.270094,  0.070704, 19.1735302702293, -0.3241085,  79.2700936,  0.0707035,
 2030-Nov-29 00:00, 2462834.500000000, , , 79.3914392, 23.1650582,  80.255464,  0.083907, 19.1578231570198, -0.3233242,  80.2554635,  0.0839075,
 2031-Feb-21 00:00, 2462918.500000000, , , 80.4616657, 23.2468911,  81.242411,  0.097105, 19.1421563907633, -0.3225472,  81.2424114,  0.0971054,
 2031-May-16 00:00, 2463002.500000000, , , 81.5348730, 23.3215793,  82.230948,  0.110295, 19.1265286879750, -0.3216410,  82.2309481,  0.1102949,
 2031-Aug-08 00:00, 2463086.500000000, , , 82.6109535, 23.3890504,  83.221072,  0.123469, 19.1109573554941, -0.3202382,  83.2210724,  0.1234693,
 2031-Oct-31 00:00, 2463170.500000000, , , 83.6898729, 23.4492448,  84.212853,  0.136628, 19.0954493577264, -0.3191232,  84.2128534,  0.1366284,
 2032-Jan-23 00:00, 2463254.500000000, , , 84.7715258, 23.5020973,  85.206298,  0.149768, 19.0799926185494, -0.3180142,  85.2062978,  0.1497678,
 2032-Apr-16 00:00, 2463338.500000000, , , 85.8557832, 23.5475428,  86.201393,  0.162881, 19.0646005777747, -0.3165104,  86.2013925,  0.1628809,
 2032-Jul-09 00:00, 2463422.500000000, , , 86.9425758, 23.5855272,  87.198183,  0.175967, 19.0492791175482, -0.3151295,  87.1981826,  0.1759674,
 2032-Oct-01 00:00, 2463506.500000000, , , 88.0317928, 23.6159937,  88.196677,  0.189022, 19.0340294490749, -0.3135002,  88.1966768,  0.1890224,
 2032-Dec-24 00:00, 2463590.500000000, , , 89.1233529, 23.6388891,  89.196913,  0.202042, 19.0188583796651, -0.3119747,  89.1969129,  0.2020419,
 2033-Mar-18 00:00, 2463674.500000000, , , 90.2171475, 23.6541645,  90.198906,  0.215023, 19.0037535513190, -0.3107004,  90.1989059,  0.2150234,
 2033-Jun-10 00:00, 2463758.500000000, , , 91.3130196, 23.6617707,  91.202628,  0.227961, 18.9887247743832, -0.3088695,  91.2026281,  0.2279608,
 2033-Sep-02 00:00, 2463842.500000000, , , 92.4109000, 23.6616655,  92.208134,  0.240852, 18.9737830643725, -0.3071531,  92.2081338,  0.2408521,
 2033-Nov-25 00:00, 2463926.500000000, , , 93.5106820, 23.6538091,  93.215444,  0.253695, 18.9589145923277, -0.3057552,  93.2154443,  0.2536947,
 2034-Feb-17 00:00, 2464010.500000000, , , 94.6122203, 23.6381619,  94.224547,  0.266482, 18.9441213392738, -0.3041740,  94.2245466,  0.2664818,
 2034-May-12 00:00, 2464094.500000000, , , 95.7154006, 23.6146909,  95.235457,  0.279211, 18.9294008554831, -0.3027268,  95.2354572,  0.2792106,
 2034-Aug-04 00:00, 2464178.500000000, , , 96.8200663, 23.5833677,  96.248154,  0.291878, 18.9147524623037, -0.3010910,  96.2481542,  0.2918776,
