*******************************************************************************
Ephemeris / WWW_USER Mon Nov 21 02:15:49 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Earth (399)                     {source: DE431mx}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 2016-Nov-21 00:00:00.0000 UT      
Stop  time      : A.D. 2017-Nov-21 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : Earth_EOP (high precision)      {East-longitude +}
Target radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude +}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE431mx}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.161118.p170209                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2016-NOV-18. PREDICTS-> 2017-FEB-08
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table format    : Comma Separated Values (spreadsheet)
****************************************************************************************************************************************************************
 Date__(UT)__HR:MN, Date_________JDUT, , ,R.A._(ICRF/J2000.0), DEC_(ICRF/J2000.0),   hEcl-Lon,  hEcl-Lat,            delta,     deldot,    ObsEcLon,   ObsEcLat,
****************************************************************************************************************************************************************
$$SOE
 2016-Dec-19 00:00, 2457741.500000000, , , 87.0284070, 23.4090039,  87.273186, -0.002164, 0.98387999864446, -0.1238247,  87.2731864, -0.0021639,
 2016-Dec-20 00:00, 2457742.500000000, , , 88.1375608, 23.4260469,  88.291123, -0.002197, 0.98381117578978, -0.1145770,  88.2911227, -0.0021969,
 2016-Dec-21 00:00, 2457743.500000000, , , 89.2471832, 23.4352583,  89.309287, -0.002228, 0.98374756768117, -0.1057622,  89.3092870, -0.0022278,
 2016-Dec-22 00:00, 2457744.500000000, , , 90.3571309, 23.4366300,  90.327668, -0.002255, 0.98368893257626, -0.0973504,  90.3276683, -0.0022549,
 2016-Dec-23 00:00, 2457745.500000000, , , 91.4672579, 23.4301578,  91.346253, -0.002277, 0.98363504752715, -0.0893073,  91.3462534, -0.0022767,
 2016-Dec-24 00:00, 2457746.500000000, , , 92.5774156, 23.4158417,  92.365027, -0.002292, 0.98358570970080, -0.0815979,  92.3650267, -0.0022923,
 2016-Dec-25 00:00, 2457747.500000000, , , 93.6874536, 23.3936856,  93.383971, -0.002301, 0.98354073664269, -0.0741865,  93.3839709, -0.0023005,
 2016-Dec-26 00:00, 2457748.500000000, , , 94.7972202, 23.3636979,  94.403067, -0.002301, 0.98349996690812, -0.0670356,  94.4030669, -0.0023009,
 2016-Dec-27 00:00, 2457749.500000000, , , 95.9065629, 23.3258911,  95.422294, -0.002293, 0.98346326188482, -0.0601033,  95.4222942, -0.0022929,
 2016-Dec-28 00:00, 2457750.500000000, , , 97.0153284, 23.2802819,  96.441630, -0.002277, 0.98343050910765, -0.0533405,  96.4416305, -0.0022766,
 2016-Dec-29 00:00, 2457751.500000000, , , 98.1233633, 23.2268913,  97.461052, -0.002252, 0.98340162691897, -0.0466893,  97.4610524, -0.0022523,
 2016-Dec-30 00:00, 2457752.500000000, , , 99.2305146, 23.1657445,  98.480535, -0.002220, 0.98337656996481, -0.0400819,  98.4805351, -0.0022203,
 2016-Dec-31 00:00, 2457753.500000000, , ,100.3366303, 23.0968710,  99.500053, -0.002182, 0.98335533477778, -0.0334413,  99.5000533, -0.0021818,
 2017-Jan-01 00:00, 2457754.500000000, , ,101.4415728, 23.0203034, 100.519593, -0.002138, 0.98333796445299, -0.0266830, 100.5195928, -0.0021379,
 2017-Jan-02 00:00, 2457755.500000000, , ,102.5451689, 22.9360813, 101.539105, -0.002090, 0.98332455283522, -0.0197184, 101.5391046, -0.0020901,
 2017-Jan-03 00:00, 2457756.500000000, , ,103.6472872, 22.8442454, 102.558576, -0.002040, 0.98331524484355, -0.0124577, 102.5585758, -0.0020402,
 2017-Jan-04 00:00, 2457757.500000000, , ,104.7477881, 22.7448413, 103.577983, -0.001990, 0.98331023669294, -0.0048144, 103.5779831, -0.0019901,
 2017-Jan-05 00:00, 2457758.500000000, , ,105.8465375, 22.6379185, 104.597306, -0.001942, 0.98330977262982,  0.0032903, 104.5973059, -0.0019419,
 2017-Jan-06 00:00, 2457759.500000000, , ,106.9434078, 22.5235298, 105.616526, -0.001897, 0.98331413897057,  0.0119223, 105.6165263, -0.0018975,
 2017-Jan-07 00:00, 2457760.500000000, , ,108.0382792, 22.4017317, 106.635631, -0.001859, 0.98332365427496,  0.0211259, 106.6356306, -0.0018588,
 2017-Jan-08 00:00, 2457761.500000000, , ,109.1310402, 22.2725838, 107.654609, -0.001827, 0.98333865440396,  0.0309149, 107.6546094, -0.0018275,
 2017-Jan-09 00:00, 2457762.500000000, , ,110.2215890, 22.1361489, 108.673459, -0.001805, 0.98335947154069,  0.0412611, 108.6734588, -0.0018045,
 2017-Jan-10 00:00, 2457763.500000000, , ,111.3098328, 21.9924925, 109.692180, -0.001791, 0.98338640769786,  0.0520874, 109.6921799, -0.0017906,
 2017-Jan-11 00:00, 2457764.500000000, , ,112.3956883, 21.8416831, 110.710779, -0.001785, 0.98341970577905,  0.0632671, 110.7107786, -0.0017855,
 2017-Jan-12 00:00, 2457765.500000000, , ,113.4790802, 21.6837918, 111.729264, -0.001788, 0.98345952389389,  0.0746362, 111.7292644, -0.0017884,
 2017-Jan-13 00:00, 2457766.500000000, , ,114.5599389, 21.5188926, 112.747649, -0.001798, 0.98350591951384,  0.0860146, 112.7476487, -0.0017979,
 2017-Jan-14 00:00, 2457767.500000000, , ,115.6381992, 21.3470620, 113.765942, -0.001812, 0.98355884784029,  0.0972322, 113.7659424, -0.0018122,
 2017-Jan-15 00:00, 2457768.500000000, , ,116.7137978, 21.1683796, 114.784154, -0.001829, 0.98361817412074,  0.1081503, 114.7841544, -0.0018290,
 2017-Jan-16 00:00, 2457769.500000000, , ,117.7866726, 20.9829275, 115.802291, -0.001846, 0.98368369518813,  0.1186716, 115.8022906, -0.0018462,
 2017-Jan-17 00:00, 2457770.500000000, , ,118.8567619, 20.7907908, 116.820353, -0.001862, 0.98375516363533,  0.1287392, 116.8203529, -0.0018618,
 2017-Jan-18 00:00, 2457771.500000000, , ,119.9240045, 20.5920571, 117.838340, -0.001874, 0.98383230914663,  0.1383288, 117.8383397, -0.0018738,
